Uid,Sid,Tag,Key,Time,Value,UpdateTime
6762854051,850761032,daily_report,stress,1729555200,"{""avg_stress"":36,""max_stress"":36,""min_stress"":36,""stress_scale"":{""mild"":1,""moderate"":0,""relax"":0,""severe"":0}}",1729621388
6762854051,850761032,daily_report,stress,1729641600,"{""avg_stress"":36,""max_stress"":36,""min_stress"":36,""stress_scale"":{""mild"":1,""moderate"":0,""relax"":0,""severe"":0}}",1730513463
6762854051,850761032,daily_report,stress,1730505600,"{""avg_stress"":35,""max_stress"":35,""min_stress"":35,""stress_scale"":{""mild"":1,""moderate"":0,""relax"":0,""severe"":0}}",1730807022
6762854051,850761032,daily_report,stress,1732406400,"{""avg_stress"":17,""max_stress"":17,""min_stress"":17,""stress_scale"":{""mild"":0,""moderate"":0,""relax"":1,""severe"":0}}",1738773442
6762854051,850761032,daily_report,stress,1733529600,"{""avg_stress"":36,""max_stress"":36,""min_stress"":36,""stress_scale"":{""mild"":1,""moderate"":0,""relax"":0,""severe"":0}}",1738772068
6762854051,850761032,daily_report,stress,1733788800,"{""avg_stress"":36,""max_stress"":36,""min_stress"":36,""stress_scale"":{""mild"":1,""moderate"":0,""relax"":0,""severe"":0}}",1738771699
6762854051,850761032,daily_report,stress,1734220800,"{""avg_stress"":38,""max_stress"":38,""min_stress"":38,""stress_scale"":{""mild"":1,""moderate"":0,""relax"":0,""severe"":0}}",1738771109
6762854051,850761032,daily_report,stress,1734480000,"{""avg_stress"":37,""max_stress"":37,""min_stress"":37,""stress_scale"":{""mild"":1,""moderate"":0,""relax"":0,""severe"":0}}",1738770869
6762854051,850761032,daily_report,stress,1734566400,"{""avg_stress"":37,""max_stress"":37,""min_stress"":37,""stress_scale"":{""mild"":1,""moderate"":0,""relax"":0,""severe"":0}}",1738770869
6762854051,850761032,daily_report,stress,1734739200,"{""avg_stress"":37,""max_stress"":37,""min_stress"":37,""stress_scale"":{""mild"":1,""moderate"":0,""relax"":0,""severe"":0}}",1738770576
6762854051,850761032,daily_report,stress,1735344000,"{""avg_stress"":37,""max_stress"":37,""min_stress"":37,""stress_scale"":{""mild"":1,""moderate"":0,""relax"":0,""severe"":0}}",1738769579
6762854051,850761032,daily_report,stress,1736208000,"{""avg_stress"":37,""max_stress"":37,""min_stress"":37,""stress_scale"":{""mild"":1,""moderate"":0,""relax"":0,""severe"":0}}",1738767694
6762854051,850761032,daily_report,stress,1736380800,"{""avg_stress"":40,""max_stress"":44,""min_stress"":37,""stress_scale"":{""mild"":2,""moderate"":0,""relax"":0,""severe"":0}}",1738767373
6762854051,850761032,daily_report,stress,1736553600,"{""avg_stress"":35,""max_stress"":35,""min_stress"":35,""stress_scale"":{""mild"":1,""moderate"":0,""relax"":0,""severe"":0}}",1738767182
6762854051,850761032,daily_report,stress,1736899200,"{""avg_stress"":36,""max_stress"":36,""min_stress"":36,""stress_scale"":{""mild"":1,""moderate"":0,""relax"":0,""severe"":0}}",1738766569
6762854051,850761032,daily_report,stress,1736985600,"{""avg_stress"":36,""max_stress"":36,""min_stress"":36,""stress_scale"":{""mild"":1,""moderate"":0,""relax"":0,""severe"":0}}",1738766569
6762854051,850761032,daily_report,stress,1737417600,"{""avg_stress"":37,""max_stress"":37,""min_stress"":37,""stress_scale"":{""mild"":0,""moderate"":0,""relax"":0,""severe"":0}}",1738765805
6762854051,850761032,daily_report,stress,1738713600,"{""avg_stress"":36,""max_stress"":36,""min_stress"":36,""stress_scale"":{""mild"":1,""moderate"":0,""relax"":0,""severe"":0}}",1739162556
6762854051,850761032,daily_report,stress,1738972800,"{""avg_stress"":36,""max_stress"":36,""min_stress"":36,""stress_scale"":{""mild"":1,""moderate"":0,""relax"":0,""severe"":0}}",1739162556
6762854051,default,daily_report,valid_stand,1729555200,"{""count"":8}",1730513465
6762854051,default,daily_report,valid_stand,1729641600,"{""count"":5}",1730513463
6762854051,default,daily_report,valid_stand,1729728000,"{""count"":19}",1730513463
6762854051,default,daily_report,valid_stand,1729814400,"{""count"":11}",1730513463
6762854051,default,daily_report,valid_stand,1729900800,"{""count"":17}",1730513463
6762854051,default,daily_report,valid_stand,1729987200,"{""count"":14}",1730513462
6762854051,default,daily_report,valid_stand,1730073600,"{""count"":19}",1730513462
6762854051,default,daily_report,valid_stand,1730160000,"{""count"":17}",1730513462
6762854051,default,daily_report,valid_stand,1730246400,"{""count"":15}",1730513461
6762854051,default,daily_report,valid_stand,1730332800,"{""count"":17}",1730513461
6762854051,default,daily_report,valid_stand,1730419200,"{""count"":17}",1730547782
6762854051,default,daily_report,valid_stand,1730505600,"{""count"":16}",1730807022
6762854051,default,daily_report,valid_stand,1730592000,"{""count"":13}",1730807014
6762854051,default,daily_report,valid_stand,1730678400,"{""count"":17}",1730807014
6762854051,default,daily_report,valid_stand,1730764800,"{""count"":18}",1731409790
6762854051,default,daily_report,valid_stand,1730851200,"{""count"":19}",1731409790
6762854051,default,daily_report,valid_stand,1730937600,"{""count"":18}",1738775491
6762854051,default,daily_report,valid_stand,1731024000,"{""count"":16}",1738775364
6762854051,default,daily_report,valid_stand,1731110400,"{""count"":12}",1738775294
6762854051,default,daily_report,valid_stand,1731196800,"{""count"":12}",1738775174
6762854051,default,daily_report,valid_stand,1731283200,"{""count"":18}",1738775114
6762854051,default,daily_report,valid_stand,1731369600,"{""count"":17}",1738775003
6762854051,default,daily_report,valid_stand,1731456000,"{""count"":18}",1738774933
6762854051,default,daily_report,valid_stand,1731542400,"{""count"":19}",1738774834
6762854051,default,daily_report,valid_stand,1731628800,"{""count"":16}",1738774753
6762854051,default,daily_report,valid_stand,1731715200,"{""count"":12}",1738774660
6762854051,default,daily_report,valid_stand,1731801600,"{""count"":5}",1738774532
6762854051,default,daily_report,valid_stand,1731888000,"{""count"":11}",1738774338
6762854051,default,daily_report,valid_stand,1731974400,"{""count"":17}",1738774230
6762854051,default,daily_report,valid_stand,1732060800,"{""count"":18}",1738774102
6762854051,default,daily_report,valid_stand,1732147200,"{""count"":17}",1738774013
6762854051,default,daily_report,valid_stand,1732233600,"{""count"":4}",1738773836
6762854051,default,daily_report,valid_stand,1732320000,"{""count"":12}",1738773620
6762854051,default,daily_report,valid_stand,1732406400,"{""count"":11}",1738773602
6762854051,default,daily_report,valid_stand,1732492800,"{""count"":14}",1738773507
6762854051,default,daily_report,valid_stand,1733097600,"{""count"":9}",1738772705
6762854051,default,daily_report,valid_stand,1733184000,"{""count"":3}",1738772705
6762854051,default,daily_report,valid_stand,1733270400,"{""count"":3}",1738772572
6762854051,default,daily_report,valid_stand,1733356800,"{""count"":8}",1738772422
6762854051,default,daily_report,valid_stand,1733443200,"{""count"":19}",1738772278
6762854051,default,daily_report,valid_stand,1733529600,"{""count"":14}",1738772228
6762854051,default,daily_report,valid_stand,1733616000,"{""count"":14}",1738772098
6762854051,default,daily_report,valid_stand,1733702400,"{""count"":17}",1738772008
6762854051,default,daily_report,valid_stand,1733788800,"{""count"":17}",1738771838
6762854051,default,daily_report,valid_stand,1733875200,"{""count"":15}",1738771708
6762854051,default,daily_report,valid_stand,1733961600,"{""count"":17}",1738771627
6762854051,default,daily_report,valid_stand,1734048000,"{""count"":20}",1738771400
6762854051,default,daily_report,valid_stand,1734134400,"{""count"":18}",1738771329
6762854051,default,daily_report,valid_stand,1734220800,"{""count"":8}",1738771249
6762854051,default,daily_report,valid_stand,1734307200,"{""count"":17}",1738771159
6762854051,default,daily_report,valid_stand,1734393600,"{""count"":15}",1738771059
6762854051,default,daily_report,valid_stand,1734480000,"{""count"":17}",1738770989
6762854051,default,daily_report,valid_stand,1734566400,"{""count"":18}",1738770889
6762854051,default,daily_report,valid_stand,1734652800,"{""count"":18}",1738770819
6762854051,default,daily_report,valid_stand,1734739200,"{""count"":17}",1738770728
6762854051,default,daily_report,valid_stand,1734825600,"{""count"":16}",1738770649
6762854051,default,daily_report,valid_stand,1734912000,"{""count"":7}",1738770546
6762854051,default,daily_report,valid_stand,1734998400,"{""count"":16}",1738770214
6762854051,default,daily_report,valid_stand,1735084800,"{""count"":14}",1738770187
6762854051,default,daily_report,valid_stand,1735171200,"{""count"":13}",1738770032
6762854051,default,daily_report,valid_stand,1735257600,"{""count"":14}",1738769834
6762854051,default,daily_report,valid_stand,1735344000,"{""count"":12}",1738769732
6762854051,default,daily_report,valid_stand,1735430400,"{""count"":11}",1738769635
6762854051,default,daily_report,valid_stand,1735516800,"{""count"":15}",1738769495
6762854051,default,daily_report,valid_stand,1735603200,"{""count"":15}",1738769337
6762854051,default,daily_report,valid_stand,1735689600,"{""count"":15}",1738769152
6762854051,default,daily_report,valid_stand,1735776000,"{""count"":16}",1738768952
6762854051,default,daily_report,valid_stand,1735862400,"{""count"":18}",1738768647
6762854051,default,daily_report,valid_stand,1735948800,"{""count"":14}",1738768452
6762854051,default,daily_report,valid_stand,1736035200,"{""count"":16}",1738768372
6762854051,default,daily_report,valid_stand,1736121600,"{""count"":15}",1738768292
6762854051,default,daily_report,valid_stand,1736208000,"{""count"":13}",1738767888
6762854051,default,daily_report,valid_stand,1736294400,"{""count"":16}",1738767764
6762854051,default,daily_report,valid_stand,1736380800,"{""count"":13}",1738767623
